first_seen_utc,ioc_id,ioc_value,ioc_type,threat_type,fk_malware,malware_alias,malware_printable,last_seen_utc,confidence_level,reference,tags,anonymous,reporter
2024-06-05 15:51:54, 1279378, 5161d6c2af56a358e4d00d3d50b3cafb, md5_hash, payload, win.luca_stealer, None, Luca Stealer, , 95, None, None, 0, Grim
2024-06-05 15:51:51, 1279375, 2ed8d181e0e977591038d7adcbd454fb, md5_hash, payload, win.troystealer, None, troystealer, , 95, None, None, 0, Grim
2024-06-05 15:51:48, 1279372, 4be144e00cac43d4f322b6a9baca9dad, md5_hash, payload, win.troystealer, None, troystealer, , 95, None, None, 0, Grim
2024-06-05 15:51:45, 1279369, cc5886741c5e771991c340eeffc8a04e, md5_hash, payload, win.troystealer, None, troystealer, , 95, None, None, 0, Grim
2024-06-05 15:51:42, 1279366, 772864f4649fd320b44ba2265f8e513a, md5_hash, payload, win.troystealer, None, troystealer, , 95, None, None, 0, Grim
2024-06-05 15:51:39, 1279363, 37dc5fda11402ffc971fee910f6a42e3, md5_hash, payload, win.troystealer, None, troystealer, , 95, None, None, 0, Grim
2024-06-05 15:51:36, 1279360, fc489aa077f6db53303bcf8d0404528a, md5_hash, payload, win.remcos, RemcosRAT,Remvio,Socmer, Remcos, , 95, None, None, 0, Grim
2024-06-05 15:51:33, 1279357, aba7110d8d90b3c02dfb382aba547656, md5_hash, payload, win.gcleaner, None, GCleaner, , 95, None, None, 0, Grim
2024-06-05 15:51:30, 1279354, 02b7ffc620622971a7d6242cf53f6cac, md5_hash, payload, win.troystealer, None, troystealer, , 95, None, None, 0, Grim
2024-06-05 15:51:27, 1279351, f9c728c1291940d7c9434b90fafab1e7, md5_hash, payload, win.lokipws, Burkina,Loki,LokiBot,LokiPWS, Loki Password Stealer (PWS), , 95, None, None, 0, Grim
2024-06-05 15:51:24, 1279348, 4ce7dec7f0af15277eec727a9e20142e, md5_hash, payload, win.nimgrabber, None, NimGrabber, , 95, None, None, 0, Grim
2024-06-05 15:51:21, 1279345, 5b69e26300ba5035ce6f6d8979061b34, md5_hash, payload, win.lokipws, Burkina,Loki,LokiBot,LokiPWS, Loki Password Stealer (PWS), , 95, None, None, 0, Grim
2024-06-05 15:51:18, 1279342, 8293d86a78125ed3357390b8c8e10ca9, md5_hash, payload, win.gcleaner, None, GCleaner, , 95, None, None, 0, Grim
2024-06-05 15:51:15, 1279339, 69c553c78ba0424cc42d3f3041d73dd0, md5_hash, payload, win.gcleaner, None, GCleaner, , 95, None, None, 0, Grim
2024-06-05 15:51:12, 1279336, 6f2164b49449467c08ddc249a96d9978, md5_hash, payload, win.vidar, None, Vidar, , 95, None, None, 0, Grim
2024-06-05 15:51:09, 1279333, c5f6aba7a08abcbede339600360f172f, md5_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
