################################################################
# ThreatFox IOCs: recent additions - CSV format                #
# Last updated: 2024-06-16 20:49:38 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2024-06-16 20:49:38", "1285619", "homeimageidea.com", "domain", "botnet_cc", "win.plugx", "Destroy RAT,Kaba,Korplug,Sogu,TIGERPLUG,RedDelta", "PlugX", "", "50", "https://jp.security.ntt/tech_blog/controlplug", "darkpeony,OperationControlPlug", "0", "Rony"
"2024-06-16 20:37:33", "1285617", "46.249.58.101:443", "ip:port", "botnet_cc", "win.unidentified_111", "BLACKWIDOW,IceNova,Latrodectus,Lotus", "Unidentified 111 (Latrodectus)", "", "75", "None", "None", "0", "Rony"
"2024-06-16 20:37:33", "1285618", "194.26.141.31:443", "ip:port", "botnet_cc", "win.unidentified_111", "BLACKWIDOW,IceNova,Latrodectus,Lotus", "Unidentified 111 (Latrodectus)", "", "75", "None", "None", "0", "Rony"
"2024-06-16 18:55:12", "1285616", "http://424673cm.n9shteam2.top/_Central.php", "url", "botnet_cc", "win.dcrat", "DarkCrystal RAT", "DCRat", "", "100", "None", "DCRat", "0", "abuse_ch"
"2024-06-16 18:51:50", "1285615", "http://150.158.13.117:7777/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books", "url", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "100", "None", "CobaltStrike,cs-watermark-987654321,Shenzhen Tencent Computer Systems Company Limited", "0", "drb_ra"
"2024-06-16 18:51:15", "1285614", "149.56.30.19:7707", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "50", "https://search.censys.io/hosts/149.56.30.19", "AsyncRAT,OVH", "0", "drb_ra"
"2024-06-16 18:51:14", "1285613", "149.56.30.19:6606", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "50", "https://search.censys.io/hosts/149.56.30.19", "AsyncRAT,OVH", "0", "drb_ra"
"2024-06-16 18:51:09", "1285612", "193.26.115.85:7707", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "50", "https://search.censys.io/hosts/193.26.115.85", "AsyncRAT,RELIABLESITE", "0", "drb_ra"
"2024-06-16 18:50:47", "1285611", "45.83.31.241:7707", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "50", "https://search.censys.io/hosts/45.83.31.241", "AsyncRAT,RELIABLESITE", "0", "drb_ra"
"2024-06-16 18:50:28", "1285610", "45.88.186.213:7707", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "50", "https://search.censys.io/hosts/45.88.186.213", "AsyncRAT,RELIABLESITE", "0", "drb_ra"
"2024-06-16 18:50:27", "1285609", "45.88.186.213:6606", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "50", "https://search.censys.io/hosts/45.88.186.213", "AsyncRAT,RELIABLESITE", "0", "drb_ra"
"2024-06-16 18:50:26", "1285608", "45.88.186.213:8808", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "50", "https://search.censys.io/hosts/45.88.186.213", "AsyncRAT,RELIABLESITE", "0", "drb_ra"
"2024-06-16 18:50:14", "1285607", "31.124.151.250:9000", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "50", "https://search.censys.io/hosts/31.124.151.250", "AsyncRAT,EE Ltd", "0", "drb_ra"
"2024-06-16 18:48:55", "1285606", "185.186.146.142:8888", "ip:port", "botnet_cc", "unknown", "None", "Unknown malware", "", "50", "https://search.censys.io/hosts/185.186.146.142", "CNSERVERS,Supershell", "0", "drb_ra"
"2024-06-16 18:48:48", "1285605", "114.132.61.132:8888", "ip:port", "botnet_cc", "unknown", "None", "Unknown malware", "", "50", "https://search.censys.io/hosts/114.132.61.132", "Supershell,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited", "0", "drb_ra"
"2024-06-16 18:48:20", "1285604", "142.247.185.41:443", "ip:port", "botnet_cc", "win.qakbot", "Oakboat,Pinkslipbot,Qbot,Quakbot", "QakBot", "", "50", "https://search.censys.io/hosts/142.247.185.41", "Qakbot,SAUDINETSTC-AS", "0", "drb_ra"
"2024-06-16 18:48:15", "1285603", "196.64.171.157:995", "ip:port", "botnet_cc", "win.qakbot", "Oakboat,Pinkslipbot,Qbot,Quakbot", "QakBot", "", "50", "https://search.censys.io/hosts/196.64.171.157", "MT-MPLS,Qakbot", "0", "drb_ra"
"2024-06-16 18:47:56", "1285602", "202.61.204.177:443", "ip:port", "botnet_cc", "py.responder", "SpiderLabs Responder", "Responder", "", "50", "https://search.censys.io/hosts/202.61.204.177", "NETCUP-AS netcup GmbH,Responder", "0", "drb_ra"
"2024-06-16 18:47:41", "1285601", "110.175.49.3:443", "ip:port", "botnet_cc", "win.havoc", "Havokiz", "Havoc", "", "50", "https://search.censys.io/hosts/110.175.49.3", "Havoc,TPG-INTERNET-AP TPG Telecom Limited", "0", "drb_ra"
"2024-06-16 18:47:09", "1285600", "185.158.248.39:443", "ip:port", "botnet_cc", "win.bianlian", "None", "BianLian", "", "50", "https://search.censys.io/search?resource=hosts&q=services.certificate%3A%22670c9a4e071dcc75de41f2354ddcde98f25d49886613bf64dba136ad3699a89e%22", "Bianlian Go Trojan,M247", "0", "drb_ra"
"2024-06-16 18:45:39", "1285599", "217.182.76.45:8888", "ip:port", "botnet_cc", "win.sliver", "None", "Sliver", "", "50", "https://search.censys.io/hosts/217.182.76.45", "OVH,Sliver", "0", "drb_ra"
"2024-06-16 17:10:14", "1285596", "http://a0993996.xsph.ru/528ed93e.php", "url", "botnet_cc", "win.dcrat", "DarkCrystal RAT", "DCRat", "", "100", "None", "DCRat", "0", "abuse_ch"
"2024-06-16 17:07:18", "1285595", "d6d7b6eec05629a25a7a8ccef4f49c68", "md5_hash", "payload", "win.luca_stealer", "None", "Luca Stealer", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:17", "1285594", "224dcca29a49075125bbea6a2a067365838474c9859a09bc44dc6a8e07cb0a4a", "sha256_hash", "payload", "win.luca_stealer", "None", "Luca Stealer", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:15", "1285592", "6e1166af854364a8668e80049abf4cca", "md5_hash", "payload", "win.redline_stealer", "RECORDSTEALER", "RedLine Stealer", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:15", "1285593", "7d08b9a1a95c9e8eef32a1ad9fe8c3b9b365b24f", "sha1_hash", "payload", "win.luca_stealer", "None", "Luca Stealer", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:14", "1285591", "b1309d691e19475051caa2f1346d2f7a23706bca559852d8c420f3f8fbcb557f", "sha256_hash", "payload", "win.redline_stealer", "RECORDSTEALER", "RedLine Stealer", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:12", "1285589", "9b3e38e023020228484dcc008d6f6e52", "md5_hash", "payload", "win.stop", "KeyPass,Djvu", "STOP", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:12", "1285590", "0832bab61321ec1b2998e7dc99b807c5d51ba5b7", "sha1_hash", "payload", "win.redline_stealer", "RECORDSTEALER", "RedLine Stealer", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:11", "1285588", "567ed29376b1cdfc820544d6d8e38d58187476a0b911226d5cb8e95f69dcba6f", "sha256_hash", "payload", "win.stop", "KeyPass,Djvu", "STOP", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:09", "1285586", "199b3fac9ac583cee18d6967a14ad6f4", "md5_hash", "payload", "win.vidar", "None", "Vidar", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:09", "1285587", "16a218483c71a8edeb7c43a9ff3696e53c586ef2", "sha1_hash", "payload", "win.stop", "KeyPass,Djvu", "STOP", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:08", "1285585", "48bc1d427c46a8e213d03ce347162f3fd2076766ddff3e70bd52b95f967e8e49", "sha256_hash", "payload", "win.vidar", "None", "Vidar", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:06", "1285584", "71875ea5dbd2ed7e16b34476e1f05fcbe164603d", "sha1_hash", "payload", "win.vidar", "None", "Vidar", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:05", "1285582", "f5efd1b435706c4eb87582528b1f34825765cc5324f768a93d763b31642f8263", "sha256_hash", "payload", "win.asyncrat", "None", "AsyncRAT", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:05", "1285583", "36b7614f2f6b0788e6c2be5def44c68f", "md5_hash", "payload", "win.asyncrat", "None", "AsyncRAT", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:03", "1285581", "0aca41d981fbc11d8eee8d7c668fc68637b4985c", "sha1_hash", "payload", "win.asyncrat", "None", "AsyncRAT", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:02", "1285579", "a689b16dd9bfa6277ec62d9d0767b91326b3912066934a95c95f0a4ed0f57960", "sha256_hash", "payload", "win.njrat", "Bladabindi,Lime-Worm", "NjRAT", "", "95", "None", "None", "0", "Grim"
"2024-06-16 17:07:02", "1285580", "5e07420af030f60aaa585125ee30d12f", "md5_hash", "payload", "win.njrat", "Bladabindi,Lime-Worm", "NjRAT", "", "95", "None", "None", "0", "Grim"
